market_id,last_price,ma_7d,price_trend_7d,vol_7d,vol_30d,age_days,time_to_resolution_days,category,y,snapshot_offset_days
684957,0.175,,,,,10.0,3.0,,1,3
684957,0.175,,,,,12.0,1.0,,1,1
708800,0.0005,,,,,-5.0,7.0,,1,7
708800,0.0005,,,,,-1.0,3.0,,1,3
708800,0.0005,,,,,1.0,1.0,,1,1
711260,0.0005,,,,,-5.0,7.0,,1,7
711260,0.0005,,,,,-1.0,3.0,,1,3
711260,0.0005,,,,,1.0,1.0,,1,1
684998,0.9995,,,,,6.0,7.0,,1,7
684998,0.9995,,,,,10.0,3.0,,1,3
684998,0.9995,,,,,12.0,1.0,,1,1
727855,0.505,,,,,-6.0,7.0,,1,7
727855,0.505,,,,,-2.0,3.0,,1,3
727855,0.505,,,,,0.0,1.0,,1,1
728293,0.505,,,,,-6.0,7.0,,1,7
728293,0.505,,,,,-2.0,3.0,,1,3
728293,0.505,,,,,0.0,1.0,,1,1
700891,0.9955,,,,,-2.0,7.0,,1,7
700891,0.9955,,,,,2.0,3.0,,1,3
700891,0.9955,,,,,4.0,1.0,,1,1
726266,0.525,,,,,-6.0,7.0,,1,7
726266,0.525,,,,,-2.0,3.0,,1,3
726266,0.525,,,,,0.0,1.0,,1,1
697287,0.9995,,,,,0.0,7.0,,1,7
697287,0.9995,,,,,4.0,3.0,,1,3
697287,0.9995,,,,,6.0,1.0,,1,1
697255,0.9995,,,,,0.0,7.0,,1,7
697255,0.9995,,,,,4.0,3.0,,1,3
697255,0.9995,,,,,6.0,1.0,,1,1
697275,0.9995,,,,,0.0,7.0,,1,7
697275,0.9995,,,,,4.0,3.0,,1,3
697275,0.9995,,,,,6.0,1.0,,1,1
698762,0.0005,,,,,-1.0,7.0,,1,7
698762,0.0005,,,,,3.0,3.0,,1,3
698762,0.0005,,,,,5.0,1.0,,1,1
697056,0.9995,,,,,0.0,7.0,,1,7
697056,0.9995,,,,,4.0,3.0,,1,3
697056,0.9995,,,,,6.0,1.0,,1,1
684987,0.0015,,,,,6.0,7.0,,1,7
684987,0.0015,,,,,10.0,3.0,,1,3
684987,0.0015,,,,,12.0,1.0,,1,1
685228,0.9995,,,,,6.0,7.0,,1,7
685228,0.9995,,,,,10.0,3.0,,1,3
685228,0.9995,,,,,12.0,1.0,,1,1
698794,0.9995,,,,,-1.0,7.0,,1,7
698794,0.9995,,,,,3.0,3.0,,1,3
698794,0.9995,,,,,5.0,1.0,,1,1
715957,0.0005,,,,,-5.0,7.0,,1,7
715957,0.0005,,,,,-1.0,3.0,,1,3
715957,0.0005,,,,,1.0,1.0,,1,1
714139,0.0005,,,,,-5.0,7.0,,1,7
714139,0.0005,,,,,-1.0,3.0,,1,3
714139,0.0005,,,,,1.0,1.0,,1,1
696459,0.9995,,,,,7.0,7.0,,1,7
696459,0.9995,,,,,11.0,3.0,,1,3
696459,0.9995,,,,,13.0,1.0,,1,1
729128,0.505,,,,,-6.0,7.0,,1,7
729128,0.505,,,,,-2.0,3.0,,1,3
729128,0.505,,,,,0.0,1.0,,1,1
698773,0.0005,,,,,-1.0,7.0,,1,7
698773,0.0005,,,,,3.0,3.0,,1,3
698773,0.0005,,,,,5.0,1.0,,1,1
712914,0.0005,,,,,-5.0,7.0,,1,7
712914,0.0005,,,,,-1.0,3.0,,1,3
712914,0.0005,,,,,1.0,1.0,,1,1
700726,0.9995,,,,,-3.0,7.0,,1,7
700726,0.9995,,,,,1.0,3.0,,1,3
700726,0.9995,,,,,3.0,1.0,,1,1
685219,0.0005,,,,,6.0,7.0,,1,7
685219,0.0005,,,,,10.0,3.0,,1,3
685219,0.0005,,,,,12.0,1.0,,1,1
709896,0.0005,,,,,-5.0,7.0,,1,7
709896,0.0005,,,,,-1.0,3.0,,1,3
709896,0.0005,,,,,1.0,1.0,,1,1
728686,0.495,,,,,-6.0,7.0,,1,7
728686,0.495,,,,,-2.0,3.0,,1,3
728686,0.495,,,,,0.0,1.0,,1,1
710406,0.0005,,,,,-5.0,7.0,,1,7
710406,0.0005,,,,,-1.0,3.0,,1,3
710406,0.0005,,,,,1.0,1.0,,1,1
709364,0.0005,,,,,-5.0,7.0,,1,7
709364,0.0005,,,,,-1.0,3.0,,1,3
709364,0.0005,,,,,1.0,1.0,,1,1
668938,0.9995,,,,,15.0,7.0,,1,7
668938,0.9995,,,,,19.0,3.0,,1,3
668938,0.9995,,,,,21.0,1.0,,1,1
738642,0.495,,,,,-6.0,7.0,,1,7
738642,0.495,,,,,-2.0,3.0,,1,3
738642,0.495,,,,,0.0,1.0,,1,1
698793,0.9995,,,,,-1.0,7.0,,1,7
698793,0.9995,,,,,3.0,3.0,,1,3
698793,0.9995,,,,,5.0,1.0,,1,1
727824,0.495,,,,,-6.0,7.0,,1,7
727824,0.495,,,,,-2.0,3.0,,1,3
727824,0.495,,,,,0.0,1.0,,1,1
698800,0.9995,,,,,-1.0,7.0,,1,7
698800,0.9995,,,,,3.0,3.0,,1,3
698800,0.9995,,,,,5.0,1.0,,1,1
716929,0.9995,,,,,-5.0,7.0,,1,7
716929,0.9995,,,,,-1.0,3.0,,1,3
716929,0.9995,,,,,1.0,1.0,,1,1
712518,0.9995,,,,,-5.0,7.0,,1,7
712518,0.9995,,,,,-1.0,3.0,,1,3
712518,0.9995,,,,,1.0,1.0,,1,1
731197,0.495,,,,,-6.0,7.0,,1,7
731197,0.495,,,,,-2.0,3.0,,1,3
731197,0.495,,,,,0.0,1.0,,1,1
697043,0.9995,,,,,0.0,7.0,,1,7
697043,0.9995,,,,,4.0,3.0,,1,3
697043,0.9995,,,,,6.0,1.0,,1,1
685209,0.0005,,,,,6.0,7.0,,1,7
685209,0.0005,,,,,10.0,3.0,,1,3
685209,0.0005,,,,,12.0,1.0,,1,1
733058,0.9995,,,,,-6.0,7.0,,1,7
733058,0.9995,,,,,-2.0,3.0,,1,3
733058,0.9995,,,,,0.0,1.0,,1,1
684968,0.997,,,,,6.0,7.0,,1,7
684968,0.997,,,,,10.0,3.0,,1,3
684968,0.997,,,,,12.0,1.0,,1,1
710829,0.9995,,,,,-5.0,7.0,,1,7
710829,0.9995,,,,,-1.0,3.0,,1,3
710829,0.9995,,,,,1.0,1.0,,1,1
727492,0.505,,,,,-6.0,7.0,,1,7
727492,0.505,,,,,-2.0,3.0,,1,3
727492,0.505,,,,,0.0,1.0,,1,1
697067,0.9995,,,,,0.0,7.0,,1,7
697067,0.9995,,,,,4.0,3.0,,1,3
697067,0.9995,,,,,6.0,1.0,,1,1
727852,0.495,,,,,-6.0,7.0,,1,7
727852,0.495,,,,,-2.0,3.0,,1,3
727852,0.495,,,,,0.0,1.0,,1,1
662349,0.0005,,,,,19.0,7.0,,1,7
662349,0.0005,,,,,23.0,3.0,,1,3
662349,0.0005,,,,,25.0,1.0,,1,1
697064,0.0005,,,,,0.0,7.0,,1,7
697064,0.0005,,,,,4.0,3.0,,1,3
697064,0.0005,,,,,6.0,1.0,,1,1
698782,0.9995,,,,,-1.0,7.0,,1,7
698782,0.9995,,,,,3.0,3.0,,1,3
698782,0.9995,,,,,5.0,1.0,,1,1
722256,0.995,,,,,-6.0,7.0,,1,7
722256,0.995,,,,,-2.0,3.0,,1,3
722256,0.995,,,,,0.0,1.0,,1,1
701310,0.0005,,,,,30.0,7.0,,1,7
701310,0.0005,,,,,34.0,3.0,,1,3
701310,0.0005,,,,,36.0,1.0,,1,1
697073,0.0005,,,,,1.0,7.0,,1,7
697073,0.0005,,,,,5.0,3.0,,1,3
697073,0.0005,,,,,7.0,1.0,,1,1
685077,0.0005,,,,,6.0,7.0,,1,7
685077,0.0005,,,,,10.0,3.0,,1,3
685077,0.0005,,,,,12.0,1.0,,1,1
697075,0.9995,,,,,1.0,7.0,,1,7
697075,0.9995,,,,,5.0,3.0,,1,3
697075,0.9995,,,,,7.0,1.0,,1,1
698787,0.0005,,,,,-1.0,7.0,,1,7
698787,0.0005,,,,,3.0,3.0,,1,3
698787,0.0005,,,,,5.0,1.0,,1,1
684960,0.9995,,,,,6.0,7.0,,1,7
684960,0.9995,,,,,10.0,3.0,,1,3
684960,0.9995,,,,,12.0,1.0,,1,1
699318,0.9995,,,,,-1.0,7.0,,1,7
699318,0.9995,,,,,3.0,3.0,,1,3
699318,0.9995,,,,,5.0,1.0,,1,1
713740,0.9995,,,,,-5.0,7.0,,1,7
713740,0.9995,,,,,-1.0,3.0,,1,3
713740,0.9995,,,,,1.0,1.0,,1,1
715351,0.9995,,,,,-5.0,7.0,,1,7
715351,0.9995,,,,,-1.0,3.0,,1,3
715351,0.9995,,,,,1.0,1.0,,1,1
684985,0.0005,,,,,6.0,7.0,,1,7
684985,0.0005,,,,,10.0,3.0,,1,3
684985,0.0005,,,,,12.0,1.0,,1,1
698764,0.9995,,,,,-1.0,7.0,,1,7
698764,0.9995,,,,,3.0,3.0,,1,3
698764,0.9995,,,,,5.0,1.0,,1,1
727828,0.995,,,,,-6.0,7.0,,1,7
727828,0.995,,,,,-2.0,3.0,,1,3
727828,0.995,,,,,0.0,1.0,,1,1
734128,0.49,,,,,-6.0,7.0,,1,7
734128,0.49,,,,,-2.0,3.0,,1,3
734128,0.49,,,,,0.0,1.0,,1,1
684967,0.0045,,,,,6.0,7.0,,1,7
684967,0.0045,,,,,10.0,3.0,,1,3
684967,0.0045,,,,,12.0,1.0,,1,1
684988,0.0005,,,,,6.0,7.0,,1,7
684988,0.0005,,,,,10.0,3.0,,1,3
684988,0.0005,,,,,12.0,1.0,,1,1
697053,0.0005,,,,,0.0,7.0,,1,7
697053,0.0005,,,,,4.0,3.0,,1,3
697053,0.0005,,,,,6.0,1.0,,1,1
697301,0.0005,,,,,0.0,7.0,,1,7
697301,0.0005,,,,,4.0,3.0,,1,3
697301,0.0005,,,,,6.0,1.0,,1,1
668964,0.7015,,,,,15.0,7.0,,1,7
668964,0.7015,,,,,19.0,3.0,,1,3
668964,0.7015,,,,,21.0,1.0,,1,1
659925,0.9995,,,,,20.0,7.0,,1,7
659925,0.9995,,,,,24.0,3.0,,1,3
659925,0.9995,,,,,26.0,1.0,,1,1
685220,0.0005,,,,,6.0,7.0,,1,7
685220,0.0005,,,,,10.0,3.0,,1,3
685220,0.0005,,,,,12.0,1.0,,1,1
717451,0.0005,,,,,-5.0,7.0,,1,7
717451,0.0005,,,,,-1.0,3.0,,1,3
717451,0.0005,,,,,1.0,1.0,,1,1
728292,0.495,,,,,-6.0,7.0,,1,7
728292,0.495,,,,,-2.0,3.0,,1,3
728292,0.495,,,,,0.0,1.0,,1,1
711245,0.0005,,,,,-5.0,7.0,,1,7
711245,0.0005,,,,,-1.0,3.0,,1,3
711245,0.0005,,,,,1.0,1.0,,1,1
714951,0.0005,,,,,-5.0,7.0,,1,7
714951,0.0005,,,,,-1.0,3.0,,1,3
714951,0.0005,,,,,1.0,1.0,,1,1
712078,0.9995,,,,,-5.0,7.0,,1,7
712078,0.9995,,,,,-1.0,3.0,,1,3
712078,0.9995,,,,,1.0,1.0,,1,1
699186,0.9995,,,,,-1.0,7.0,,1,7
699186,0.9995,,,,,3.0,3.0,,1,3
699186,0.9995,,,,,5.0,1.0,,1,1
735199,0.505,,,,,-6.0,7.0,,1,7
735199,0.505,,,,,-2.0,3.0,,1,3
735199,0.505,,,,,0.0,1.0,,1,1
699984,0.9995,,,,,-2.0,7.0,,1,7
699984,0.9995,,,,,2.0,3.0,,1,3
699984,0.9995,,,,,4.0,1.0,,1,1
730813,0.505,,,,,-6.0,7.0,,1,7
730813,0.505,,,,,-2.0,3.0,,1,3
730813,0.505,,,,,0.0,1.0,,1,1
718106,0.9995,,,,,-5.0,7.0,,1,7
718106,0.9995,,,,,-1.0,3.0,,1,3
718106,0.9995,,,,,1.0,1.0,,1,1
685111,0.9995,,,,,6.0,7.0,,1,7
685111,0.9995,,,,,10.0,3.0,,1,3
685111,0.9995,,,,,12.0,1.0,,1,1
685010,0.0005,,,,,6.0,7.0,,1,7
685010,0.0005,,,,,10.0,3.0,,1,3
685010,0.0005,,,,,12.0,1.0,,1,1
697290,0.0005,,,,,0.0,7.0,,1,7
697290,0.0005,,,,,4.0,3.0,,1,3
697290,0.0005,,,,,6.0,1.0,,1,1
698768,0.9995,,,,,-1.0,7.0,,1,7
698768,0.9995,,,,,3.0,3.0,,1,3
698768,0.9995,,,,,5.0,1.0,,1,1
721568,0.0005,,,,,-6.0,7.0,,1,7
